,Examples,Labels
19987, not quite as muchhm products in us that are not in canada idk do you have covergirl,neutral
19988,not in the mood crazii crazii highly upset now with everything amp everybody,worry
19989, congratulations  you guys finish a month earlier than we do bo,relief
19990,gossip fluffodile here the latest mad night with teg jack lou tess and frey had a gender war but i was v sad for a friend also,sadness
19991, haha i tried covering it with make up it doesnt work lol so wearing a scarf is the way to go,worry
19992,my pc just died again now i have to find a firewire to save all those photos i havent backed up to the mac yet,worry
19993, they used to have a book expo in canada toronto but the cancelled it this year beatwittyparty beatwittyparty,sadness
19994,my nail broke i hate,hate
19995,no more high school,relief
19996,well that first tweet for today failed lol back to sleep or bacon and eggs so hard to choose,surprise
19997,watching the notebook,neutral
19998,and other girls come over and my boyfriend forgets that im here,surprise
19999, oh nowhere did your sunshine go hands you a few rays of lightwill this help a bit hugs,worry
20000,thanks for pointing out the crucial problems  both of them have been taken care of cc ,empty
20001,please ignore cheesey music,surprise
20002,just got home from a meeting with the girls man im exhausted goodnight world,neutral
20003, lol thats the kind im eating,neutral
20004,victory for the bulldogs was celebrated by  white chocolate cheesecakes nom nom nom whatta fatty,happiness
20005, lt rocksteady pt ii,worry
20006,ok outta all  of my followers only about  of u ive talked to lol dont be shy i dont bite,love
20007, hola i dont know what ur up doing but im trying to finish up some work for school bout to go to bed though,enthusiasm
20008,and i just love every little thing about you,love
20009, on my macbook i run linux with parallels and on my imac i use vmware fusion and both are great especially in quotunityquotmode,enthusiasm
20010,i have the job this is a nice day it can not be better,love
20011,ill go nowill watch teen nick,fun
20012,needs a break from the computer adios lt,neutral
20013,tweet whore  i am up to  tweets,surprise
20014,time for me to sleep,neutral
20015, i just laughed out loud on the bus reading your statement of ethics people moved away he he he,neutral
20016, thanks for that sara,happiness
20017,character designs complete  in about a week well give another sneak peak stay posted,neutral
20018, fingers crossed for you,neutral
20019, well welcome back from the dark side,happiness
20020, lol  you gotta share too,happiness
20021,first up make up for lost time with jelly jalan jalan just the  of us and the rollerblading with my pumpkin happeh,happiness
20022, next one for you,happiness
20023, my cats enjoy the sunbeams from the open windows i think that counts,love
20024,i cannot wait to go to florida,fun
20025,not goin tto tafe,worry
20026, susan egan i love her and yeah it said i would have a pleasant trip,love
20027, sike sike call it truce u still a bitch and my ppl still gonna air u out tho,hate
20028,waiting for an email that will probably never arrive ed later consti study after then hopeless bumming,worry
20029,just getting an additional free day,surprise
20030,welcome   really glad to know you here your products rox man,happiness
20031,monday is here one more day,neutral
20032,all zombie songs are now dedicated to   ,fun
20033,is happy and clean squeaky clean,happiness
20034, thank you thank you thought this is where all the cool kids hang out now hehe xoxo,happiness
20035, that is annoying what gear is it ill take it off your hands,worry
20036,i need to get some shut eye but i just cant lets try  more time ta ta twitterworld,neutral
20037, morning bill,neutral
20038,i just want this semester to be over only a week and a half then its moving time,worry
20039,listening to i cant wait  akon feat t pain  i love this song,love
20040,cleaning my room and listening to britney,neutral
20041, yes this nba song is great got an old funny nba cheerleader remix song ohrwurm of the day quotcolorblindquot,happiness
20042,new logo for all the web cheak itgallethoo,happiness
20043, thanks for sharing,relief
20044,having a great chat with a friend hes totally putting my mind at ease,love
20045, cheap and good system ,neutral
20046,goodnight twitterville really enjoyed pearl harbor now off to sleep and cuddle with my hot man i will have good dreams tonight xoxo,love
20047, oh good idea about putting them on ice cream,fun
20048, lol i hear you i think i watched about    different movies when i should have been getting work done ill ttyl girl,love
20049, so what cereal do you usually like,neutral
20050, i had a yay moment today yay hope you did too,happiness
20051,mm chilli crab amp deal or no dealand thats life ,neutral
20052,wish i was at eurodjangocon,neutral
20053,endless streams of tea its a holiday day here how do i know its raining,surprise
20054, sounds like you all had a great night  im glad it was successful,happiness
20055,goin to bed,neutral
20056,thank god camera fixed itself i want a new ipod,relief
20057,woop have just bought the elliot minor album on itunes its finally working for me,happiness
20058, pebbles thrown at windows should get someones attention,surprise
20059, theres a reason why theyre so cute at times  to prevent you from throwing them overboard when they scream every  hrs,fun
20060, no dayum oclock was better,happiness
20061, you told me u would be therelol hm where were u,worry
20062,watching the office also comedy gold,neutral
20063, u no there was no point pointing it out yesterday and ppl had  wait til midnight  they were kinda pissed,sadness
20064,grand indonesia with mom n sisters,neutral
20065, im come and try to find you and be your fan too,love
20066, im watching some of your videos in youtube youre funny david oh and talented of course,happiness
20067, thks  the follow and  tweets i returned the love,love
20068,  it is interesting that vs generates a setup script for uninstall,worry
20069, morning are u back in blighty bill hope u had a lovely time away,worry
20070, want to hear something funny im yours is on the radio right now,sadness
20071, happy bday just woke up on this side of earth so wishes are bit late,neutral
20072,hank thompson  the big one got away  hmm how old do you have to be to remember this  ,neutral
20073, we will work on that mama sweetdreams,happiness
20074, you can do it,love
20075,nothings better then going out for chinese at the supperinn with ma fave cousins at am,happiness
20076,i am up and feeling pretty damn gud i dont even have a hangover what a nice feeling,worry
20077,i just dyededed my hair,neutral
20078,drinkin chai tea and not sleeping and checkin out some cool peeps,worry
20079, haha if i were him id totally go check out a small little breakfast nook they probably have the cutest ones there,surprise
20080,new  single bought it is awesome well done boys,happiness
20081, ahh i gtg but pls help me with number  ill come back later to see what u said haha plz and thank u,happiness
20082, lol well thank you,happiness
20083,cie  potong rambut,neutral
20084,cant wait for sytycd tour with ashleigh amp izzay,fun
20085,cnews wasnt as bad as i expected could have done better but today we did a great show,surprise
20086, aw boo i fucking lovee doing all the girly thingss,worry
20087,thankyou short stack for bringing out a second sydney show now im going to both im so thankful for you guys being so good  ur fans,love
20088,finally gone,relief
20089, aha bangbroscom psshh nigga its all about onionbootycom,fun
20090, hey never realized that you also get a twitter account your guides are truly many times a lifesaver to me,worry
20091,good job,happiness
20092, ur welcome,neutral
20093, i love itthats going to be one of my new fave quotes,love
20094,i love the sunshine and the happiness it brings,happiness
20095,seepin,neutral
20096, thanks bebeisis that is right is your name by any chanve elisabeth,worry
20097, ohh shardup hehe hes hot lah gotta admet bleh,happiness
20098,cleaning cleaning cleaning today then working out i love not working,hate
20099,chem wasnt better than physics and now im so tired  hahaha ntn bbf juga ya hihi gue sukanya jun pyo,hate
20100, but on the bright side youre on twitter morning,happiness
20101, happy birthday and cheers to pao,happiness
20102,is home excited that gemma is getting her breaking dawn mwahahah evil laughis angry with hopeless assholes ,hate
20103, aw i was thinking about you lot up there glad you enjoyed it,worry
20104, yeah you are right but my mom can cook like she is straight from the island make sure you invite me to your fam restaurant,love
20105,download movie quotst annual academy awards preshowquot cool movie,neutral
20106, ur really smart,love
20107, thanks for the link geoff,relief
20108,ah showers are great,fun
20109,i won because im awesome,happiness
20110,i was crying all of tuesday cos i find out   economics is offically my crying subject lol,sadness
20111, woman hope you have a relaxing monday as i have cu later on this sunny monday ,relief
20112, so dont bother urself,worry
20113,finally having my cup of coffee,happiness
20114,just hangin out at home watchin twiligghht  and readin it again lol school sukked today bahaha,happiness
20115,paving your own road is intelligent only if nobody has gone exactly where you are going come follow me,neutral
20116, yea i know right i love that song,relief
20117, its driving me insane all i want is a lie in,happiness
20118, just file me under seduced sweetie,neutral
20119, i agree people should be able to cohabitate with whomever they choose,worry
20120,is twittering,neutral
20121,for   ,happiness
20122, its a bank holiday stupid wait they dont have bank holidays in america okay keep on celebreting,worry
20123, no way  those are great words boys dont get to own them oh and was it your bday,enthusiasm
20124,hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,happiness
20125, your birthday well happy birthday,surprise
20126,you wont believe how long this took to achieve still all done and my car is happy again  photo ,relief
20127,says i got  cards today from eva n clara thanks guys ,love
20128, have a great day today david may you write some wonderful masterpieces,neutral
20129,im back wo i want to have my own press release ,love
20130, yep i like animals better than some humans too,love
20131, would you settle for a  mustang ii ghia nope probably would not be the same,worry
20132, k its  slices left,surprise
20133,omg i never knew that wikipedia also lists the shades of colours its cool,fun
20134,we just drove all the way to hollywood just to get a miley cyrus milkshake at least it was like an orgasm in my mouth,neutral
20135, started using the branch,neutral
20136,anyone got an ffe account if so add me,neutral
20137,  pm,neutral
20138, i realized that i think  weeks into college welcome to the otherside,neutral
20139,revelation strawberries and nutella taste reealy good together,love
20140,another one popped up a human being congrats nana and wan baby iris is a cutie,love
20141, ok tx its so worth the wait lol,worry
20142,today is maintenance day for me my flat and my blogyeah a lot of little works,surprise
20143, hes awesome have you worked with him before hes a good friend,happiness
20144,time to watch op then some dead like me then sleep,neutral
20145,stopped working on the  image database awhile ago to help greg with his term paper now chit chatting with greg,surprise
20146,well done  visteon belfast  years salary paid just shows what happens when you stand up for yourself,happiness
20147,        thanx for the sixer comment,neutral
20148,its my bday im gettin older,relief
20149, yuptheyve stopped in hawaii for a few seasons already are you talking about this season hope they come back again,neutral
20150, i tweet so much about you gahd hahaha,happiness
20151, dont worry youll get your stamina back soon what kind of distances do you run usually,neutral
20152, the archetype thing was for a comm class that studied archetypes in popular media reading your links now thanks,happiness
20153, at least you get to watch lost on the way,neutral
20154, thanks for that now i learned something new today enjoy,happiness
20155, is it possible to a have phobia of phobias afraid to look at list,worry
20156,i wanna go there where you go i wanna find out what you know david and miley ,love
20157,heading out to a longband practice last one before our first show on saturday night hope its a good one ,love
20158, aww morgan i wish i could have realized that a while ago instead of putting myself through it your strong and i love yoult,worry
20159, is it that quiet at the office,neutral
20160,  thelma rebeca fernanda symonds fernanda cordova,neutral
20161, thank u u kno ppl already look  my chest ne ways might as well give them somethng to throw them off lol,neutral
20162,hey dubbo rsl turkey roast circa  know its been a while just wanted to let you know i still think about you from time to time,relief
20163, i am absolutely craving a brownie with ice cream right now fedex some over,fun
20164, haha when is it good luck babe amp upload a photo will ya ,happiness
20165,and these awesome tweeples too     ,fun
20166,i got whooped by jason bradbury ace ,surprise
20167,the djs and partypeople were great again at cc kicking next one june ,sadness
20168,  oo oo i must compete let me login to my work email to see if i can top that,sadness
20169, fine going to do my big walk today  or so miles,neutral
20170, wow thats really sweet im assuming this is blogrelated thanks so much,surprise
20171, ok david talk later have a great day ay ay ay ay,happiness
20172, i know but work is so boring i prefer the  take on life,neutral
20173, and thats why your azz lost hater lol love you,worry
20174, aw that sounds amazing but i think i have work thank you for inviting me though,sadness
20175, yay excited,surprise
20176,sigh im getting off the computer now to do even more homework bye,sadness
20177,in school wants to read eclipse andsome pages read,sadness
20178, if there is a tesco nearby then go there,neutral
20179,i just finished first season six feet under,love
20180,enjoyed the waller reunion very much the wallers are back in town,relief
20181, maybe it had a hot date with a nice little cesna,happiness
20182, surrealism in a cute way  louis votton quotsuperflat monogramquot  takashi murakami music by fantastic plastic machine,neutral
20183, col down patience is virtue,neutral
20184, yah they have footlong sausage too mah but halal placepiggy sausages are bigger,happiness
20185,stoped following ama i really need a clean break on another note kate is being super nice right now off to work,neutral
20186,waiting on laundry to finish so i can go home think ill do my nails while i wait,worry
20187, its surprising how much billy idol turns up in tweets i monitor constantly  not that im obsessed or anything billyidol,surprise
20188,morning all  woken by neighbours kids screaming in the garden before am so not in a very benevolent mood you have been warned,sadness
20189, sounds great im looking forward to it then,happiness
20190, lol and thats why i use my ipod touch,fun
20191,hehe tweet time bastos talaga chux,fun
20192,love and wanted to share with my followers feeling inspirational ive had a long day,happiness
20193, per taylor dayne conversation its official i am now jealous of you,sadness
20194,ive worked my finger tips bare today coding but we got there,neutral
20195,wake upand go make breakfast,neutral
20196, it will warm up once you start digging,neutral
20197, bye  have a great time being whisked away,happiness
20198, yes yes i am networking whore to the fullestand this girl is rih next to me,happiness
20199,cant sleep so im watching some more gilmore girls,neutral
20200,feels like spammers season is called summer season,neutral
20201,ohh i didnt double tweet a while ago did i now i did,relief
20202,fancy is a  hun got u doin things u aint never done,worry
20203,smudger is cleaning herself ,surprise
20204,good morning world,love
20205, cant wait for it i love your scripts honestly you should have a future career as a script writer  stock twits,happiness
20206, if you dont mind change your profile pic with a picture of you in uk itll be fun,fun
20207, hey its good to see you here will now follow you would be nice to have a photo,happiness
20208,just woke up no school today we are free,relief
20209,im still waitin for my girl to come homei wanna go shopping,enthusiasm
20210,tweet you later have a wonderful day,happiness
20211,last song  then i really have to go  ,love
20212, good luck if i remember right everything in england is a rip off anyway and next time write me back haha,hate
20213,got my braces tightened today then i got mcdonalds haha sport tomorrow yay yay yay netball tryouts wish me luck to make the team l,happiness
20214,have lots do as usual laundry thanking god cleaning house praising god cutting the hedge and thanking and praising god some more,worry
20215, thanks for sympathy it wasnt too bad until about an hour ago when i started thinking of the appointment tomorrow,happiness
20216,tafe was actually quite good for once,happiness
20217, haha i think were all in the same situation lol,neutral
20218, the usual applications checking statuses reading stuff thats  wel not arbit etc,sadness
20219,true to form bank holiday monday looks like it might be rainy hope it holds off til later familyampfriends plan walk and picnic today,relief
20220, thanks for follow was just adding you from your twitter page after commenting your blog,love
20221, i wish i could go to both but i dont think ill be allowed p either way with two shows going your bound to get a ticket,sadness
20222, finding a place to crap on the move eh whoever said technology is crap,hate
20223, yeah my dad calls me taltal but it was taken on aol back in  so i added a k for my last name coincidence is tal talk,neutral
20224, thank u so much lil mama xoxo,relief
20225,someone in united states liked jelly blocks ,neutral
20226, i went for the sweetheart well see how things turn out,neutral
20227, no i like be able to say it and it be the truth instead of some magical mystery tour i get led on,love
20228, adem in adem uit,neutral
20229, absolutely ,neutral
20230, yeah you do that lol,fun
20231,lt korn you guys are champions of the world,love
20232, how long before the frisbee golfer quotaccidentallyquot catches one in the back of the head from his friend,neutral
20233, i just added a butt to your name in my phone after i made you go home in the cold because i love you,love
20234, check out her new song quotsentimental watajokeentalquot shes a fren wlastfmmusicmarplemeg,neutral
20235, i can give you the contact of the person who makes those cheesecakes,neutral
20236,not really but its work so yea kinda,relief
20237, its stable faster than x and working,enthusiasm
20238, glad you like it,happiness
20239, havent read that book but heard of it feed spay love is a great motto for pet owners although there is more involved,fun
20240,photo great night ,happiness
20241, why cant we have both huh itll make up for the raping of our twitter you just did,surprise
20242,would like june the nineteenth to hurry it self up as she is waiting very impatiently to see wes carr,enthusiasm
20243,the era of the word  un not united nations lar is coming on fast  unconference unreason  better get those domains ,worry
20244,listening to the commentary track on holiday inn never thought id see bing crosby in black face but the rest of the movie was cute,neutral
20245, i am most honoured to receive a twit tout en francais but my french not good enough to pick up les nuances en  lol,love
20246, gt quotlive qampa quot definitely the best part of twitter for me,fun
20247, oh hi terri good now what about you any good gossip,neutral
20248,is debating giving twitter a proper go now to try and understand it,neutral
20249, woohoo well done i started macarenaing too,happiness
20250, you didnt get a public holiday today bwahah,neutral
20251, yup theory is great but the reality is beyond imagination i also made the same planning not knowing vs will fail on me,relief
20252,once again another late night but i scored a mojito so ,neutral
20253,bank holiday monday exams tomorrow d,happiness
20254, just clicked on your bio youre in cantazaro have been to italy several times but never calabria,worry
20255,lots of other people are very polite tho and ask if they can approach,love
20256,is damn happy one for the end of exams and anotherhehehe crosses fingers,love
20257, thanks i am doing good did you read any of my blog posts,relief
20258, any tips for someone who has only made it  on flight control,neutral
20259, hi there nice to meet you i am new to twitter and i guess you are too,neutral
20260,alright twitter i have netball now this is my th twitter haha bye,neutral
20261, famous on myspace youre a dillhole,surprise
20262, v good i thought you were registered na,worry
20263, merlin wasnt too bad already watched it on bt of course,neutral
20264, i also have a brain tumor called jeffery,happiness
20265,writing my first tweet,neutral
20266,is excited lots of good things happening workwise here in melbourne,happiness
20267,recovering from mexican fiesta had a bit too much of a good time,happiness
20268, cool,love
20269,i should sleep ive got like  hours to sleep before work then ive got tuesday thursday off sweet,worry
20270, youre just jealous guess youll be walking around the office tomorrow in your malo,sadness
20271,new baby arrived yesterday a fab baby boy at  kilo very proud and happy,happiness
20272, you betill be there in spirit im in the uk really lol like the pic btw xx x,love
20273, wanted to get that piercing too but thought it would be distracting to others when i was giving presentations u think,neutral
20274, heh i meant differences between b and b,neutral
20275,which is why i cant wait till i move out of home and life by myself next year wacky adventures every day,happiness
20276, is it for dinner the amount for dinner ones is greater than say an afternoon snack a pack for the day is prob ok,neutral
20277,im off well home i will see you soon,surprise
20278, tegan and sara fan follow them ,neutral
20279,im glad that i called him cause our relationship is clear now just happy to hear his voices eventhough hes absent from school,love
20280, awh age doesnt matter you awesome lady you,love
20281, lol im the night owl queen  why you up,worry
20282,todays line up more work on os bluetooth app a brief stint with uniservity and if i get time some cs tutorials busy bank holiday,neutral
20283,i really needa find more stastics,neutral
20284,waking up with star wars end title song in my had is sorta awesome  and also kinda creepy,sadness
20285, hello sounds very good you can count on me i follow you,love
20286,waiting for my friend to come over so we can hang out,neutral
20287, yeah i had a suspicion about that i think im going to come home and want to spend a ton of money on tools,worry
20288,british expat tweet tommy and the giant sprout especially for fly as part of sprout seaso ,neutral
20289,i get so sucked in to true life and that steveo documentary was intense i love that shit its nice to see people get their lives back,sadness
20290, what makes u think of south africa why not italy or hawaii or something,surprise
20291,is choosing to do britney for the dance showcase yes cant wait  days,happiness
20292,time to relieve stress at the gym someone should write speeches take exams and do research for me,neutral
20293,im doing a cause in retail,neutral
20294, moni loveu get all da credit i wouldnt be shit on twitter wo ucus i wouldnt kno how  do shit on here  thanks boo,neutral
20295,musicmonday nicest thing from kate nash,relief
20296,still awakedoing my assignments and playing virtual farming,happiness
20297,upgraded,neutral
20298, always write holy words in capital dude allah hafiz ,empty
20299,the rain bring back some memories,neutral
20300, so long as they hold your wine without tipping,neutral
20301, great,happiness
20302,i think more people would buy the slap chop if the commercial was like this ,happiness
20303, played anworld played flashback played starcon  played fallout played every psygnosis game out for the amiga and the st,enthusiasm
20304, yes it is though not in coffee so whats your favorite brand,empty
20305, good luck with your breakfast search but here in the us i have to go to bed lol goodnight david,neutral
20306,im still in bed and on the laptop yep borin ,worry
20307,looking forward to the new week with the presentation of my book in a store in dillingen today and some interesting sales seminars,neutral
20308,just watched jonas it was funny,fun
20309, nemm zdrojky mozilly ani perl take zstanu u sv vry ve schopnosti ohlohu,neutral
20310, come to rochester with me and nikki beer and a hog roast always helps,fun
20311, mornin how are you are your legs ok,worry
20312, this will make you feel better will down a cocktail or  in your honour now get retorting ,fun
20313,badminton marathon tonight please cooperate feet,fun
20314,watching a movie and rocking my baby kitty who is asleep in my sling hanging from my neck so cute,happiness
20315, nice new profile picture glad to see some friends in there,happiness
20316, awogah hehe hope you get some decently priced breakfast real quick david,happiness
20317,morning everyone another dat of school,enthusiasm
20318, thats better lol,relief
20319, it would hurt only when you touch it or when it gets hit but when you dont it wont but after a month it wouldnt hurt na,neutral
20320,hangin out and drinkin beers with  dude brought me a new pair of purple kicks im gonna wear them on the act i cover,sadness
20321,just ordered an asus eee pc,empty
20322, shrugs so do i but it was too funny plus you know you enjoyed it tweet whore  love you,love
20323, take a medicine,neutral
20324, heyy,neutral
20325, lol sounds like dont call me babe have done that too  have you thought that over ,worry
20326, oops eldhose bhai uploaded the same too did you read the hindus article on barcamp binny rocks man,enthusiasm
20327, im researching nyc stuff,enthusiasm
20328,supernatural is back on tonight ,happiness
20329,goin to casa milans club house,neutral
20330, dont forget twitter the bastard stepchild of enablers,hate
20331,morning coffee and fresh air,love
20332, welcome,love
20333,but omg mummy bought me icecream,happiness
20334, followed your bro ,neutral
20335,chatting with the bestest,neutral
20336,if you cant hide the tweetie icon why not change it ,neutral
20337, thats whats up hah im great thanks just waiting for all the craziness to take off,neutral
20338, good morning hazel caffeineshot,happiness
20339,realizing that i dont have school today or tomorrow or for the next few months i really need to get on those job applications,worry
20340, our weekend was also great two friends of julia were here for four days,happiness
20341,im excited for the things for jays room to arrive,relief
20342,ah bank holiday morningreading elle in bed and getting excited for a roast dinner in sheering later,happiness
20343,   woohoo i got the sunbeam caf series grinder at eu foods for only  epic win,happiness
20344, ruilen,neutral
20345,really really wants to go and see coraline,enthusiasm
20346,  i care about eurovision and yes they have a  jurybased vote this year eurovision,happiness
20347,am happy birthday little sister of mine also good night priscilla,love
20348, ah kam like a fan incarnatedso kinda like a mutant till date ghalib has never yet left my questions unanswered,worry
20349,because he  wants to be an honorary filipino ill follow him now  thanks ,happiness
20350,looking forward to coffee and driving tomorrow really,fun
20351, they actually use standard speaker wire between them too with standard terminals so no soldering involved or anything,neutral
20352,wloveisthecurenet is up check it out,neutral
20353,yes im down to  full on my dvr i was at  like  days ago lol i swear if i didnt have a dvr i would never watch tv,worry
20354, indeed,neutral
20355,and were back in buisiness,neutral
20356, haha was it good i bet it was,happiness
20357,heading out to do a relay in the belfast marathon,neutral
20358, clever girl,neutral
20359,m eating tostitos ampamp piknik with spinach dip from sampr lt,happiness
20360,cuba trip booked,relief
20361, heheh odd though i thought a couple of the others id done were better,neutral
20362, hi i have uploaded  completely new chinese lessons on wyoutubecomchineselearn please feel free to watch and enjoy,love
20363,making mashed potatoes and vegies to go with  tbone steak for when he gets home,worry
20364,just signed upso hello twitter world here i am,empty
20365,oops that would be edaust,surprise
20366, if its any consolation youre definitely one of the hottest ggs imho,happiness
20367, why just continue ill keep sitting with crossed legs,neutral
20368, did you watch it,neutral
20369,right guys i have to go,worry
20370, night doze well,happiness
20371, not sure i like this way to learn a new language i prefer to be quoton locationquot so i can practice ask qs and get answers,neutral
20372, ah lincolnill runsee you in  hours,neutral
20373,forgot about my old twitter account please follow itsjeff i will stop this account sooni prefer the address that doesnt have my age,neutral
20374, work this week some new instrumentals stay updated,surprise
20375,today celebrating two new people becoming australian citizens i am hoping for a good dinner,love
20376,is back from tafe and has bowling in about an hour,neutral
20377, quotdonnie rocksquot if u could only here it my year old runs around every where sayin quotdonnie rocksquot,happiness
20378,  i dont know why but i lold,fun
20379, i think  bucks and i dunno,neutral
20380, really all that ill look for it and will report back,fun
20381, too early  ill spill my corn flakes,surprise
20382, naw missed it and the video cool looking sexy,enthusiasm
20383, its looking like june  nice right,happiness
20384, not really injured so cant do much exercise the kgs are coming on already also still looking to rent some place fun times,worry
20385,todo cleaning the apartment  again  who keeps making this mess oh yeah  me   hug for the person to help come clean,boredom
20386,prom was awesome,happiness
20387,good to have a boyfriend like you,love
20388,joeys getting a new lizard this should be fun x,fun
20389,working the graveyard shift,neutral
20390, wow hehehe mushymushy mode,neutral
20391, tweetsjust living the rockstar life one tweet at a time,happiness
20392,  follow,neutral
20393, hope the train remembers the way  they can go a bit loopy on bank holidays,worry
20394,possessed beyond certainty that she has made the rite decision,happiness
20395, oh i dont love it just noting that remix kids seem to,surprise
20396, its driving you insane really its sterling knight playing chad dylan cooper on sonny with a chance,worry
20397, well i hope you have had a good weekend and even more so have a good day at work moro its already monday hereso far so good,enthusiasm
20398, good moring mr bailey it is my birthday today,happiness
20399,i likee you a lott lott  think you really hot hot  good night,love
20400,seen the doctor today everything was fine might go for ultrasound scan just as a precaution,worry
20401, hi rob,neutral
20402,just got back from rachaels house,neutral
20403,likes the reports from testers of his new package for synology diskstations ,love
20404,bruno argh i cant wait,worry
20405,spending a girly day wif my four big sisters shopping pedicures and dyeing eachothers hair ohh yeah,happiness
20406, hi i have uploaded  completely new chinese lessons on wyoutubecomchineselearn please feel free to watch and enjoy,happiness
20407, unfortunately notmy work ties me down  the whole summerbut if theres a eutour this fallill be there i want a rebound,sadness
20408,based on the similarity between quotmay the th be with youquot and quotmay the force be with youquot today its the quotstar wars dayquot,worry
20409,would really like to buy death note  amp  later this week i loved those movies,happiness
20410, we should all be down to earth dont none of us walk on water im just some horny nerd trying to find my way thru life lol,happiness
20411, scifi junkie gamer pianist gin and tonic drinker and news addict,neutral
20412,sweet dreams everyone i am utterly exhausted nite nite,neutral
20413, thanks welcome back,relief
20414, thank you good sir it has been a surprisingly good afternoon very productive,happiness
20415, welcome home glad you made it home safe,relief
20416,i finished new moon in  day all up maybe less im quite proud now who wants to lend me eclipse haha,relief
20417,ay dios mio  weeks left of college ah cant wait,happiness
20418,yeye lets tweet again tomorrow honey,love
20419, i dnt think i can ever get tired ofquotthe climbquotits just  of those sngs ull always remember ,enthusiasm
20420, haha i hope so i need sleep lol but my phone will get his message if he updates us,neutral
20421,the best things in life are free x,neutral
20422, amp to you matey,happiness
20423,off shopping in southhampton with my mummers,neutral
20424,i go to quotuser experience roundtable hamburg  detlev fischer on accessibility bitv testquot dont miss,enthusiasm
20425, yeah man been a while since i heard you spittin,neutral
20426, hi i have uploaded  completely new chinese lessons on wyoutubecomchineselearn please feel free to watch and enjoy,neutral
20427, the fans have found you,fun
20428,i have been called by my friend the bed it is time to acknowledge the inevitable goodnight all hello sleep,neutral
20429, sweet my friend kevin is joining us but i have his  look  the girl carrying a backpack amp boulder pad,neutral
20430,now we are cuddling girl cuddles are so fun and soft,love
20431, all good take a rest,love
20432, dont be gloomygo out and get urself icecreamor ginwhichever,neutral
20433, no need to thank we all just have to keep the good thought,neutral
20434,just got back from the long weekend,relief
20435, hi what are you a consultant for,empty
20436,watching dr horrible with   dont be mad,fun
20437, glad you liked it hes done loads of arrangements but that was the only one i could find on blip,love
20438,going to glasgow,neutral
20439, fil  with cool people like me,neutral
20440,weekend is over  hope you all had a great weekend,fun
20441, alright you should go to the market and haggle them ,neutral
20442, hello james who are you,surprise
20443, i accept the blame  but i said quotin englishquot the language couldnt say quotin britishquot could i ,neutral
20444, hey thanks  the advice amp support,love
20445, morning to u,neutral
20446,sleepy tabz is heading to bed fun night listened through the next episode of jossd,fun
20447, you will have to unfollow some people that are not following you so you can follow new people,neutral
20448,got hometh armed with hair dye a cherry ripe and cosmo,neutral
20449, cant you guys do something on coop about grim fandango dont you wanna see it on xblapsn call tony plana call tim,worry
20450,  a gift from my boyfriend this little guy keeps me company at night,love
20451, oh i see so its like morning there right happy breakfast thumbs up,surprise
20452,hello back to work today after a week of vacation ,relief
20453, tell him ill beat him up if he doesnt share,worry
20454, aww loves you way too cute ,love
20455,got back from helping my sis with stuff for my nieces st birthday i saw a pspds lite car charger in toy kingdom sm for only p,surprise
20456, not much blipping lately but ill get onto that for you,worry
20457,is gonna have an irish wedding,love
20458, thank you feel much more relaxed now that everything isnt as scary as in the beginning,relief
20459, and u are doing brilliantly sweetie blessings and joy to you,love
20460,step  be a photoshop expert ,neutral
20461,what a great day time with some family an amazing voice studio party at my profs home and a finance study date with ,worry
20462,wlcome   im proud of my girlfriend,happiness
20463, hello im up late playing on the internet i love you,sadness
20464,just finished studying for abnormal psychology eek i still have two more days ill do more than fine,relief
20465,toodaayy,fun
20466, ooh coffee great idea want one,enthusiasm
20467, looks like fun doing the macarena with a live band,fun
20468,hey dudes am please check out my blog at and my youtube channel ,worry
20469,lol thats the highlight,neutral
20470, touch my hand video  simply amazing love it,love
20471, ur not blind i was just browsing amp saw ur tweet amp figured i could answer ur query plus i wanted to know too,worry
20472, braving the standby line  theview bright amp early today hope to hear about your book amp hope i get in rd times the charm,neutral
20473,i know what would make me really tired put me to sleep and i would sleep good rice lmao,fun
20474, fyou very very much willkommen im twitterland,neutral
20475, i dont understand sensexbut wow,happiness
20476,good day today tomorrow will be even better,happiness
20477, omg and you never would believe what we did ahaha i loved it but it felt like a movie but real,worry
20478, hi i have uploaded  completely new chinese lessons on wyoutubecomchineselearn please feel free to watch and enjoy,neutral
20479, sounds pretty cool great job man,happiness
20480,took mr timothy for a run hes quite fast if i hold up his bottom,surprise
20481,have a huge block of snack chocolate here tis calling my name already,love
20482, hey whats up my name is caleb and im your newest follower,surprise
20483, haha of course thats my favorite album of all time,happiness
20484,lol made a huge mess of my school shirt was using charcoal sticks in d art,worry
20485, hi i have uploaded  completely new chinese lessons on wyoutubecomchineselearn please feel free to watch and enjoy,neutral
20486, haha hey you should check out  love herhis tweets,love
20487, bought the repo man soundtrack in the s  pablo picasso was never called an asshole,neutral
20488,eighty nine min and fifty eight sec new record,neutral
20489, it will give me lulz from time to time,relief
20490, i hope you were feeling better today,worry
20491, grabe norms i researched dami pala flamenco forms and subforms kaloka i attempted a solea kaloka ang beat,neutral
20492, hi i have uploaded  completely new chinese lessons on wyoutubecomchineselearn please feel free to watch and enjoy,happiness
